Akun,Tweet,Lokasi
https://twitter.com/Indober2020,"Turut hadir pula dlm salat Jumat tsb antara lain Gubernur Jawa Tengah Ganjar Pranowo, Pangdam IV/Dipenogoro Mayjen TNI Widi Prasetijono, Kapolda Jawa Tengah Irjen Pol Ahmad Luthfi, Danrem 074/Warastratama Kolonel Inf. Anan Nurakhman, &amp; Wali Kota Surakarta Gibran Rakabuming Raka. https://t.co/HUN55Hyygp",
https://twitter.com/alex_suprijadi,@ganjarpranowo Hmmmmmmmmm........🤔🤔🤔🤔,
https://twitter.com/hansforever3,@ganjarpranowo Kancane yow di pikir now..,
https://twitter.com/Prass_Gudono,"@Sherin_Tiara Selamat Merayakan Paskah untuk sahabat-sahabat yang merayakannya🙏
Pak @ganjarpranowo , mantap💪",
https://twitter.com/febroikbal,@MCAOps Haloo pak @ganjarpranowo,
https://twitter.com/alex_suprijadi,@RiaKeynou @jokowi @ganjarpranowo Hidup bukan untuk Ganjar saja https://t.co/mcz6tSJIQ9,
https://twitter.com/AqiaqiH,Pak Ganjar Pranowo mengucapkan Selamat Hari Paska 2023 bagi yang merayakannya. https://t.co/YzXstcvaBU,
https://twitter.com/Sampeong2,"@b4yuw @ganjarpranowo Ooh jadi pakai politik identitas nih.
Klu orang nasrani harus dukung gp.",
https://twitter.com/alex_suprijadi,@sarah_enjeuLL @ganjarpranowo 😂😂😂😂😂 https://t.co/YMwnYyHIlU,
https://twitter.com/herrypopay76,@KITAJokowi_Xyz @Candra4smara @jokowi @ganjarpranowo Kalo si pengkhianat ini ga masuk di akal P.jokowi,
https://twitter.com/ujangdahmid,"Presiden @jokowi melaksanakan ibadah salat Jumat di Masjid Raya Sheikh Zayed, Solo, Jateng, Jumat (7/4).  Gubernur Jateng @GanjarPranowo dan Wali Kota Solo @gibran_tweet  https://t.co/zY5XMyiCaF",
https://twitter.com/L_Nasional,"Ganjar sengaja mendatangi dua panti asuhan di Solo dan Karanganyar, bersama istrinya, Siti Atikoh. Orang nomor satu di Jawa Tengah itu bersilaturahmi dengan umat nasrani yang memperingati Jumat Agung dan Paskah.

#KacamataBangsa #GanjarPranowo #MIvsCSK #MusicBankParis https://t.co/5tlyJXZIkK",
https://twitter.com/L_Nasional,"Lagu ‘Terima Kasih Tuhan’ menyambut kedatangan Ganjar dan istri di tempat itu. Keduanya langsung disambut hangat oleh para lansia yang tampak bersemangat mendekat untuk bersalaman. Ada juga di yang minta berswafoto.

#KacamataBangsa #GanjarPranowo #MIvsCSK #MusicBankParis https://t.co/LvIVbkCLeY",
